theta,omega
0.7850513475722021,-0.06694094499093702
0.7840353200442907,-0.13381157306796798
0.7823510164711156,-0.20056549773567783
0.779999836855598,-0.26715622739728573
0.7769836468920668,-0.3335371195908559
0.7733047797597221,-0.39966133748327226
0.76896603833783,-0.46548180921598353
0.7639706978109039,-0.5309511906833683
0.7583225086263811,-0.5960218323084998
0.7520256997617201,-0.660645750361984
0.7450849822524744,-0.7247746033472479
0.7375055529277619,-0.7883596739500399
0.7292930982946856,-0.8513518570208095
0.7204537985087118,-0.9137016540259375
0.7109943313628022,-0.9753591743673761
0.7009218762242763,-1.0362741439300351
0.6902441178449849,-1.0963959211721654
0.6789692499674412,-1.1556735210260247
0.6671059786471291,-1.2140556468243084
0.6546635252093198,-1.2714907304122633
0.6416516287574289,-1.3279269805462435
0.6280805481492495,-1.3833124396169303
0.6139610633573666,-1.4375950486698161
0.5993044761306932,-1.490722720627207
0.58412260987542,-1.5426434215453977
0.5684278086757374,-1.5933052596683168
0.5522329353775063,-1.6426565819654375
0.5355513686616123,-1.6906460777677799
0.5183969990380516,-1.7372228890421153
0.5007842236968459,-1.7823367267708277
0.4827279401576714,-1.8259379928341337
0.4642435386665607,-1.8679779067233966
0.44534689329519744,-1.908408636349979
0.426054351706094,-1.9471834321544108
0.4063827235552972,-1.9842567636664763
0.38634926751312815,-2.01958445761906
0.36597167689276633,-2.053123836678064
0.3452680638861537,-2.084833857818208
0.32425694241663716,-2.114675249350767
0.3029572096278912,-2.142610645594884
0.28138812603887403,-2.168604718179564
0.2595692944047584,-2.1926243029691324
0.23752063733384587,-2.2146385216211644
0.21526237372030577,-2.23461889681267
0.19281499406207417,-2.2525394602076916
0.17019923474229576,-2.268376852287161
0.1474360513611908,-2.282110413219579
0.12454659121308283,-2.2937222640182364
0.1015521650104373,-2.303197377306675
0.07847421796305662,-2.3105236370980595
0.05533430032597404,-2.315691887085146
0.03215403753402926,-2.3186959670345555
0.008955100044535213,-2.319532736980914
-0.014240826988178277,-2.318202089021866
-0.03741207408126093,-2.314706946622746
-0.06053701770959011,-2.309053251448391
-0.08359411038536811,-2.3012499378479556
-0.10656191040863079,-2.291308895225192
-0.12941911116924448,-2.279244918630282
-0.15214456988499503,-2.26507564800862
-0.17471733566535874,-2.2488214966358275
-0.19711667679642733,-2.230505569355599
-0.21932210714916622,-2.2101535713168157
-0.24131341162063344,-2.187793707977813
-0.26307067052588895,-2.1634565772081022
-0.28457428286698433,-2.137175054370613
-0.30580498841454173,-2.1089841713102624
-0.32674388854690806,-2.0789209902070964
-0.34737246580159803,-2.047024473274296
-0.3676726021036207,-2.0133353492930333
-0.38762659564520924,-1.9778959779776872
-0.407217176401351,-1.940750213156633
-0.4264275202752439,-1.9019432657361013
-0.4452412618773,-1.8615215673880787
-0.46364250595049405,-1.8195326358684862
-0.4816158374636334,-1.7760249428296928
-0.49914633040244516,-1.7310477849425665
-0.5162195552961687,-1.6846511590885926
-0.5328215855245582,-1.6368856423229425
-0.5489390024567994,-1.5878022772456555
-0.5645588994797875,-1.5374524633511706
-0.579668884978478,-1.485887854857169
-0.5942570843355882,-1.4331602654429014
-0.608312141021787,-1.3793215802556662
-0.6218232168506582,-1.324423675472602
-0.6347799914751663,-1.268518345634159
-0.6471726612041013,-1.2116572388961144
-0.6589919372180507,-1.1538918002793608
-0.6702290432648542,-1.0952732229313806
-0.6808757129142828,-1.035852407350743
-0.6909241864508546,-0.9756799284664283
-0.7003672074823086,-0.9148060104075939
-0.7091980193393225,-0.853280508746695
-0.717410361339626,-0.7911528999498358
-0.7249984649867606,-0.7284722777229046
-0.7319570501704019,-0.665287355900468
-0.7382813214314411,-0.6016464774865615
-0.7439669643509377,-0.537597629422345
-0.749010142117657,-0.473188462625023
-0.7534074923242158,-0.4084663168153537
-0.7571561240369209,-0.3434782496273651
-0.7602536151792256,-0.27827106947344105
-0.7626980102633771,-0.21289137162060245
-0.764487818499323,-0.1473855769194684
-0.765622012304304,-0.08179997261592149
-0.7661000262308214,-0.016180754666825226
-0.7659217563248498,0.049425929024835905
-0.765087559920303,0.11497393504336342
-0.7635982558698715,0.18041708115100727
-0.761455125206466,0.2457091038227469
-0.7586599122236424,0.31080361720761407
-0.7552148259575868,0.375654074091912
-0.7511225420475118,0.4402137294299338
-0.7463862049457087,0.5044356069952716
-0.7410094304430229,0.5682724696904434
-0.7349963084702109,0.6316767940342479
-0.7283514061305272,0.6946007493248615
-0.7210797709140043,0.7569961819521215
-0.7131869340392714,0.8188146053045579
-0.7046789138644269,0.8800071956854613
-0.6955622193044946,0.9405247946175047
-0.6858438531893565,1.0003179178771155
-0.675531315492844,1.0593367715578874
-0.6646326063608773,1.1175312754168287
-0.6531562288642474,1.174851093708221
-0.641111191399836,1.231245673657398
-0.6285070096628306,1.286664291671013
-0.6153537081118252,1.3410561073215528
-0.601661820848644,1.394370225082263
-0.5874423918353098,1.4465557637246125
-0.5727069743718218,1.497561933224377
-0.5574676297603279,1.5473381189548276
-0.5417369250838909,1.5958339728769424
-0.525527930031356,1.6429995113676226
-0.5088542127038369,1.6887852192582722
-0.4917298343430335,1.7331421595885097
-0.47416934292697105,1.7760220885140037
-0.45618776558477486,1.8173775747442633
-0.43780059978874414,1.8571621228264783
-0.41902380328921657,1.8953302995360528
-0.3998737827654775,1.9318378625841088
-0.3803673811742047,1.9666418908077776
-0.36052186378558854,1.9997009149713043
-0.3403549029062543,2.0309750482755793
-0.3198845612973589,2.060426115651339
-0.2991292743056548,2.088017780897482
-0.2781078307348158,2.1137156707212363
-0.25683935249381257,2.1374874947415754
-0.23534327306850575,2.15930316053164
-0.21363931487180277,2.1791348827999752
-0.19174746553659056,2.1969572858442024
-0.16968795322412275,2.212747498454063
-0.14748122102850492,2.2264852404933233
-0.12514790056529929,2.2381529004513245
-0.10270878483897312,2.2477356033244282
-0.08018480048986727,2.2552212682644948
-0.057596979526492995,2.2606006555150158
-0.03496643065321624,2.2638674022446215
-0.012314310306709719,2.26501804698139
0.010338206483093502,2.264052042448537
0.03296995529045295,2.2609717567015166
0.05555981143223823,2.255782462567087
0.07808671893053026,2.2484923154852643
0.10052971918428631,2.239112319954079
0.1228679792375876,2.2276562848734507
0.14508081953556945,2.2141407681771947
0.16714774106361277,2.198585011230013
0.1890484517706964,2.1810108635483747
0.21076289218390606,2.161442698479477
0.23227126012789595,2.139907320540256
0.2535540344705209,2.1164338651779766
0.2745919978238157,2.0910536917647473
0.2953662581379033,2.063800270679968
0.31585826913416903,2.034709065366952
0.3360498495330542,2.0038174102726525
0.3559232010409964,1.9711643855925516
0.37546092507028855,1.936790689746521
0.3946460381748493,1.9007385105060322
0.41346198619400204,1.8630513956789243
0.4318926571052728,1.823774124235468
0.44992239259585054,1.782952578729269
0.467535998370643,1.7406336198292909
0.48471875322273594,1.696864
