theta,omega
-0.6962329615653358,0.9354437416879016
-0.6865639508352072,0.9952100751313434
-0.6763009302808056,1.0542068458243985
-0.6654518517741946,1.1123841125144858
-0.6540251687683902,1.1696916802374018
-0.642029838698683,1.2260791382378877
-0.6294753249610071,1.2814959055697717
-0.6163715983896938,1.3358912844144806
-0.6027291381568766,1.3892145210955722
-0.5885589320163691,1.4414148747034117
-0.5738724758160558,1.4924416931786224
-0.5586817722047193,1.5422444966359585
-0.5429993284618039,1.5907730676423264
-0.5268381533818801,1.6379775480944412
-0.5102117531495313,1.6838085422737048
-0.49313412614502894,1.7282172255890467
-0.4756197566264746,1.7711554584534555
-0.45768360724004686,1.8125759046775158
-0.43934111031656836,1.8524321537042718
-0.42060815791975903,1.8906788459549861
-0.40150109061922334,1.9272718005056453
-0.3820366849693709,1.9621681442701757
-0.36223213968402934,1.9953264418290242
-0.34210506050540623,2.0267068250117135
-0.321673443775209,2.056271121319843
-0.30095565872506097,2.083982980263297
-0.2799704285127633,2.1098079966776235
-0.2587368100403565,2.133713830094953
-0.23727417259923328,2.155670319254722
-0.21560217539665322,2.1756495908638755
-0.1937407440268057,2.1936261617491812
-0.17171004595797293,2.2095770335865574
-0.14953046511525747,2.223481779443637
-0.12722257564567752,2.2353226214316755
-0.10480711495910985,2.2450844988308125
-0.08230495614450017,2.2527551261278815
-0.05973707986589494,2.2583250404876383
-0.03712454584711872,2.2617876382655036
-0.014488464057277023,2.263139200261691
0.008150034288331862,2.2623789055118197
0.030769825795886864,2.259508833506674
0.053349823912855365,2.254533954832474
0.07586900778406959,2.247462110321679
0.09830645082974354,2.238303978901784
0.1206413489336229,2.227073034424578
0.1428530481329105,2.2137854918498636
0.16492107170594916,2.1984602432445315
0.18682514655881854,2.1811187841392505
0.2085452288179504,2.1617851308598968
0.23006152854251574,2.1404857295184656
0.2513545334776096,2.117249357407905
0.2724050317770717,2.092107017596503
0.29319413363304453,2.0650918275597734
0.31370329175799366,2.0362389027209096
0.3339143206738053,2.005585235794647
0.3538094147716393,1.9731695728438174
0.3733711651153593,1.9390322869630552
0.3925825749704946,1.903215250500283
0.41142707404972423,1.865761706714102
0.42988853147472705,1.8267161417444693
0.4479512674628361,1.786124157745625
0.4656000637551996,1.744032347994708
0.48282017281101475,1.7004881747475835
0.4995973257998115,1.6555398505657977
0.5159177394306639,1.6092362237860336
0.5317681216635601,1.5616266687467624
0.5471356763539243,1.5127609813267258
0.5620081068864357,1.4626892802872462
0.5763736188588026,1.4114619148458842
0.5902209218800177,1.359129378843388
0.6035392305508279,1.3057422317998895
0.6163182646967119,1.251351027090546
0.6285482489255636,1.196006247405885
0.6402199115835503,1.1397582475985288
0.6513244831832634,1.0826572049562095
0.6618536943783276,1.0247530768814572
0.6717997735581089,0.9660955659013839
0.6811554441350823,0.9067340918768888
0.6899139215958271,0.846717771229584
0.6980689103845303,0.7860954029569658
0.7056146006853414,0.7249154611619334
0.7125456651669568,0.6632260937817591
0.7188572557494641,0.6010751271640609
0.724545000449769,0.5385100761032131
0.7296050003579029,0.47557815891990524
0.7340338267921934,0.41232631713916534
0.7378285186767111,0.34880123929801765
0.7409865801796094,0.28504938839295246
0.7435059786459872,0.22111703245945466
0.7453851428537497,0.15705027776086541
0.7466229616156527,0.09289510405175222
0.7472187827453212,0.028697401371649348
0.7471724123995509,-0.035496992181562645
0.746484114803672,-0.09964225225329812
0.7451546123611904,-0.16369253016488677
0.7431850861433598,-0.22760191553181694
0.7405771767487993,-0.2913244001183148
0.7373329855177785,-0.35481384347240297
0.73345507608038,-0.41802394087633316
0.7289464762124405,-0.48090819413530383
0.7238106799679921,-0.5434198857125848
0.7180516500519071,-0.6055120567014968
0.7116738203916234,-0.6671374891040504
0.7046820988622182,-0.7282486928623486
0.6970818701147434,-0.7887978980620189
0.688878998453665,-0.8487370526968905
0.6800798307054949,-0.9080178263508177
0.6706911990173039,-0.9665916201159317
0.6607204235207818,-1.0244095830266753
0.6501753147949211,-1.0814226352457732
0.6390641760582481,-1.137581498191868
0.627395805019867,-1.1928367317490378
0.6151794953174397,-1.24713877864596
0.6024250374696204,-1.3004380160373123
0.5891427192704419,-1.3526848142623955
0.575343325553712,-1.403
