theta,omega
-0.6105494367658642,-1.4560120985267424
-0.6251095577511315,-1.3986053404760712
-0.6390956111558922,-1.3400916540008323
-0.6524965276959005,-1.2805280844338522
-0.665301808540239,-1.2199712876965012
-0.677501521417204,-1.1584774680274654
-0.6890862960974786,-1.0961023266452636
-0.7000473193639313,-1.0329010211779273
-0.7103763295757105,-0.9689281356177425
-0.7200656109318879,-0.9042376604898064
-0.729107987536786,-0.8388829828603489
-0.7374968173653894,-0.7729168857542392
-0.7452259862229318,-0.706391556500618
-0.752289901787938,-0.6393586034809265
-0.7586834878227472,-0.5718690807144122
-0.7644021786298913,-0.5039735196821247
-0.7694419138267126,-0.4357219677610848
-0.7737991335043234,-0.3671640326153158
-0.7774707738304766,-0.2983489318693725
-0.7804542631491703,-0.22932554737250063
-0.7827475186228954,-0.16014248334724454
-0.7843489434563679,-0.0908481277048598
-0.7852574247334164,-0.021490715800988117
-0.7854723318914263,0.0478816041015329
-0.784993515850411,0.11722070440031775
-0.7838213088064078,0.1864784114916152
-0.7819565246914916,0.25560643961968377
-0.7794004602952948,0.32455632597671885
-0.7761548970355275,0.39327936778946526
-0.7722221033576329,0.4617265621233968
-0.7676048377363989,0.5298485491279042
-0.7623063522451198,0.5975955594360928
-0.7563303966507589,0.6649173664202771
-0.749681222986556,0.7317632439887791
-0.7423635905466682,0.7980819305908212
-0.73438277124076,0.863821600073803
-0.725744555240022,0.9289298400106535
-0.7164552568399155,0.9933536380838638
-0.7065217204590769,1.0570393770768354
-0.6959513266883085,1.1199328389819418
-0.6847519982984891,1.181979218687859
-0.6729322061116105,1.2431231476559639
-0.6605009746350509,1.3033087279367033
-0.6474678873556838,1.3624795768116278
-0.6338430915875676,1.4205788822752035
-0.6196373027648155,1.4775494694926077
-0.6048618080698894,1.5333338782856274
-0.5895284692870332,1.5878744516088252
-0.5736497247709449,1.6411134348827505
-0.5572385904221174,1.692993085950747
-0.54030865956261,1.7434557953216019
-0.522874101609394,1.7924442162528027
-0.504949659446866,1.8399014041195916
-0.48655064540567006,1.8857709644045662
-0.4676929357616244,1.9299972085326158
-0.4483929636762983,1.972525316668024
-0.42866771050961805,2.0133015064861794
-0.40853469544475624,2.0522732068332203
-0.388011963376424,2.089389235094808
-0.36711807102547594,2.1245999770118185
-0.34587207125535774,2.157857567607812
-0.3242934955792796,2.1891160718322977
-0.30240233486095663,2.2183316634766808
-0.28021901822618983,2.245462800887712
-0.25776439021731273,2.270470397987524
-0.2350596862374375,2.2933179891109194
-0.21212650634632832,2.3139718861902177
-0.18898678748442616,2.3324013268561066
-0.1656627742158651,2.3485786120797267
-0.14217698809506782,2.362479232056396
-0.11855219577450386,2.3740819791244423
-0.09481137598325944,2.383369046622612
-0.07097768551703332,2.3903261127152162
-0.04707442438988116,2.394942408354016
-0.023125000306341,2.3972107686979256
8.471073806382567E-4,2.3971276674738236
0.024818384055376494,2.394693233931729
0.04876531639469378,2.3899112522228227
0.07266442891692201,2.382789143206613
0.09649232034898814,2.3733379288712606
0.12022569963770074,2.361572179726022
0.14384142143496095,2.347509945694264
0.1673165208919036,2.331172671197077
0.19062824760387437,2.3125850952687963
0.21375409855656233,2.2917751376846307
0.23667184993340865,2.268773772205238
0.259359587655461,2.243614888151927
0.2817957365369803,2.2163351416179813
0.3039590879531601,2.1869737976955026
0.32582882593011514,2.155572565152632
0.34738455158164144,2.1221754250328373
0.3686063058319698,2.086828454666295
0.38947459037863275,2.0495796485837325
0.40997038686447007,2.010478737806164
0.4300751742425317,1.9695770089507876
0.44977094433203957,1.9269271245451502
0.4690402155774911,1.8825829458799568
0.48786604503629066,1.8365993596571524
0.5062320386328621,1.7890321096058466
0.5241223597289206,1.7399376341459574
0.5415217360703802,1.6893729110799072
0.5584154651811793,1.6373953101880119
0.5747894182830595,1.584062454495049
0.59063004282801,1.529432090865453
0.6059243637366646,1.4735619704741612
0.6206599834414062,1.416509739590663
0.6348250808373128,1.3583328410065272
0.6484084092473781,1.2990884263326248
0.6613992935107044,1.2388332792923644
0.673787626303628,1.1776237500422362
0.6855638638040503,1.1155157004614014
0.6967190208086643,1.052564460268418
0.7072446654113484,0.9888247937457174
0.7171329133488056,0.9243508767813199
0.7263764221166188,0.8591962838725238
0.734968384955344,0.7934139846778373
0.7429025248021224,0.7270563496510986
0.7501730882986334,0.6601751642452913
0.7567748399410863,0.5928216511327111
0.7627030564524134,0.5250464998525237
0.7679535214509386,0.45689990326600255
0.7725225204835987,0.38843160017343686
0.776406836485333,0.3196909234244709
0.7796037457195778,0.2507268528350719
0.7821110142479285,0.18158807220905815
0.7839268949700191,0.11232302974980858
0.7850501252675172,0.04298000113810971
0.7854799252788982,-0.026392845455182362
0.7852159968243464,-0.0957473831580913
0.7842585229927654,-0.1650354597275942
0.7826081683954895,-0.23420883116149901
0.7802660800838745,-0.30321909633208954
0.7772338891205537,-0.3720176333788818
0.7735137127867648,-0.4405555385932248
0.7691081574008326,-0.5087835685207396
0.7640203217156252,-0.5766520859985146
0.75825380085564,-0.6441110108323287
0.7518126907473167,-0.7111097758046383
0.7447015929892703,-0.7775972886863283
0.736925620102407,-0.8435219009039043
0.7284904010933679,-0.9088313834885188
0.7194020872584828,-0.97347
