t	kat
0.0	0.006629126073623883
0.05	0.026453775428784035
0.1	0.059282930638113
0.15000000000000002	0.10478915122450211
0.2	0.16249621159052693
0.25	0.23176429950460042
0.3	0.3117752272325128
0.35	0.40152063388989356
0.39999999999999997	0.4997964128490476
0.44999999999999996	0.6052064297222568
0.49999999999999994	0.7161778840872448
0.5499999999999999	0.830989388061569
0.6	0.9478111151516797
0.65	1.0647545055166878
0.7000000000000001	1.1799274005243456
0.7500000000000001	1.2914895156503432
0.8000000000000002	1.3977030996374213
0.8500000000000002	1.49697448583573
0.9000000000000002	1.5878837921136397
0.9500000000000003	1.6692018841095102
1.0000000000000002	1.7398954746221122
1.0500000000000003	1.799122579024569
1.1000000000000003	1.8462213330905632
1.1500000000000004	1.8806954122611632
1.2000000000000004	1.902199081945896
1.2500000000000004	1.9105244084827058
1.3000000000000005	1.9055925080042044
1.3500000000000005	1.8874500012918907
1.4000000000000006	1.8562711244232024
1.4500000000000006	1.8123652289602707
1.5000000000000007	1.7561886876626582
1.5500000000000007	1.6883595074159394
1.6000000000000008	1.609672277014402
1.6500000000000008	1.5211105266599352
1.7000000000000008	1.42385327752656
1.7500000000000009	1.3192726657913332
1.800000000000001	1.2089201642095437
1.850000000000001	1.094500135263112
1.900000000000001	0.9778311263820588
1.950000000000001	0.8607971871771029
2.000000000000001	0.7452931579975305
2.0500000000000007	0.6331689444853186
2.1000000000000005	0.526177975921341
2.1500000000000004	0.42593429681758044
2.2	0.33388126003692126
2.25	0.25127294711434794
2.3	0.17916765026143788
2.3499999999999996	0.118431338864798
2.3999999999999995	0.06974817245214512
2.4499999999999993	0.03363482320535669
2.499999999999999	0.010455532151983752
2.549999999999999	4.3529431315457966E-4
2.5999999999999988	0.003669207316319607
2.6499999999999986	0.020126723483798615
2.6999999999999984	0.049650263732502614
2.7499999999999982	0.09194836782512622
2.799999999999998	0.14658427291964066
2.849999999999998	0.21296152829900442
2.8999999999999977	0.2903089369595215
2.9499999999999975	0.37766768765617265
2.9999999999999973	0.47388388020694877
3.049999999999997	0.5776096008758145
3.099999999999997	0.6873151389213186
3.149999999999997	0.8013137952745986
3.1999999999999966	0.9177991055812389
3.2499999999999964	1.0348924348522976
3.2999999999999963	1.1506971823023489
3.349999999999996	1.2633546727778415
3.399999999999996	1.3710965068989662
3.4499999999999957	1.472288777350139
3.4999999999999956	1.5654649643501108
3.5499999999999954	1.6493461432153722
3.599999999999995	1.7228489558056406
3.649999999999995	1.7850832710845717
3.699999999999995	1.8353423950863392
3.7499999999999947	1.873089057493945
3.7999999999999945	1.8979402919009811
3.8499999999999943	1.909653886877668
3.899999999999994	1.9081184605580026
3.949999999999994	1.8933485104876744
3.999999999999994	1.8654850723171352
4.049999999999994	1.8248019044823853
4.099999999999993	1.7717163989815
4.149999999999993	1.7068037012717292
4.199999999999993	1.6308118320271756
4.249999999999993	1.5446750104902787
4.299999999999993	1.4495220018011494
4.3499999999999925	1.346676298898267
4.399999999999992	1.2376454433558814
4.449999999999992	1.1240978574526335
4.499999999999992	1.0078271365663305
4.549999999999992	0.8907056051099398
4.599999999999992	0.7746307002593615
4.6499999999999915	0.6614690016116712
4.699999999999991	0.5530031489624421
4.749999999999991	0.45088637097913875
4.799999999999991	0.3566080235511153
4.849999999999991	0.2714717464368167
4.899999999999991	0.19658600603218174
4.94999999999999	0.13286526004458205
4.99999999999999	0.08103897100343743
5.04999999999999	0.041665259015802814
5.09999999999999	0.015146040895365236
5.14999999999999	0.0017409091160236964
5.1999999999999895	0.001577611835409437
5.249999999999989	0.014657690723429652
5.299999999999989	0.040856551034273575
5.349999999999989	0.07991795511011963
5.399999999999989	0.13144364719086654
5.449999999999989	0.19487953521967633
5.4999999999999885	0.2695005519583066
5.549999999999988	0.3543969288569373
5.599999999999988	0.4484650291024889
5.649999999999988	0.5504059534501142
5.699999999999988	0.6587347094163332
5.749999999999988	0.7718017396986463
5.799999999999987	0.8878270846482037
5.849999999999987	1.0049456165802577
5.899999999999987	1.1212599872885731
